Terminal log file
Date: 1/31/2019 - 2:34:15 PM
-----------------------------------------------
Prescaler: 8
PWM period, pulse: 65535, 32768
a:479,p:65466,c:32733
a:478,p:65397,c:32699
a:477,p:65328,c:32664
a:476,p:65259,c:32630
a:475,p:65190,c:32595
a:474,p:65121,c:32561
a:473,p:65052,c:32526
a:472,p:64983,c:32492
a:471,p:64914,c:32457
a:470,p:64845,c:32423
a:469,p:64776,c:32388
a:468,p:64707,c:32354
a:467,p:64638,c:32319
a:466,p:64569,c:32285
a:465,p:64500,c:32250
a:464,p:64431,c:32216
a:463,p:64362,c:32181
a:462,p:64293,c:32147
a:461,p:64224,c:32112
a:460,p:64155,c:32078
a:459,p:64086,c:32043
a:458,p:64017,c:32009
a:457,p:63948,c:31974
a:456,p:63879,c:31940
a:455,p:63810,c:31905
a:454,p:63741,c:31871
a:453,p:63672,c:31836
a:452,p:63603,c:31802
a:451,p:63534,c:31767
a:450,p:63465,c:31733
a:449,p:63396,c:31698
a:448,p:63327,c:31664
a:447,p:63258,c:31629
a:446,p:63189,c:31595
a:445,p:63120,c:31560
a:444,p:63051,c:31526
a:443,p:62982,c:31491
a:442,p:62913,c:31457
a:441,p:62844,c:31422
a:440,p:62775,c:31388
a:439,p:62706,c:31353
a:438,p:62637,c:31319
a:437,p:62568,c:31284
a:436,p:62499,c:31250
a:435,p:62430,c:31215
a:434,p:62361,c:31181
a:433,p:62292,c:31146
a:432,p:62223,c:31112
a:431,p:62154,c:31077
a:430,p:62085,c:31043
a:429,p:62016,c:31008
a:428,p:61947,c:30974
a:427,p:61878,c:30939
a:426,p:61809,c:30905
a:425,p:61740,c:30870
a:424,p:61671,c:30836
a:423,p:61602,c:30801
a:422,p:61533,c:30767
a:421,p:61464,c:30732
a:420,p:61395,c:30698
a:419,p:61326,c:30663
a:418,p:61257,c:30629
a:417,p:61188,c:30594
a:416,p:61119,c:30560
a:415,p:61050,c:30525
a:414,p:60981,c:30491
a:413,p:60912,c:30456
a:412,p:60843,c:30422
a:411,p:60774,c:30387
a:410,p:60705,c:30353
a:409,p:60636,c:30318
a:408,p:60567,c:30284
a:407,p:60498,c:30249
a:406,p:60429,c:30215
a:405,p:60360,c:30180
a:404,p:60291,c:30146
a:403,p:60222,c:30111
a:402,p:60153,c:30077
a:401,p:60084,c:30042
a:400,p:60015,c:30008
a:399,p:59946,c:29973
a:398,p:59877,c:29939
a:397,p:59808,c:29904
a:396,p:59739,c:29870
a:395,p:59670,c:29835
a:394,p:59601,c:29801
a:393,p:59532,c:29766
a:392,p:59463,c:29732
a:391,p:59394,c:29697
a:390,p:59325,c:29663
a:389,p:59256,c:29628
a:388,p:59187,c:29594
a:387,p:59118,c:29559
a:386,p:59049,c:29525
a:385,p:58980,c:29490
a:384,p:58911,c:29456
a:383,p:58842,c:29421
a:382,p:58773,c:29387
a:381,p:58704,c:29352
a:380,p:58635,c:29318
a:379,p:58566,c:29283
a:378,p:58497,c:29249
a:377,p:58428,c:29214
a:376,p:58359,c:29180
a:375,p:58290,c:29145
a:374,p:58221,c:29111
a:373,p:58152,c:29076
a:372,p:58083,c:29042
a:371,p:58014,c:29007
a:370,p:57945,c:28973
a:369,p:57876,c:28938
a:368,p:57807,c:28904
a:367,p:57738,c:28869
a:366,p:57669,c:28835
a:365,p:57600,c:28800
